id,league_id,team_id,group_nr,created_at
1,1,1,1,2026-02-24 21:48:50.369294
2,1,2,1,2026-02-24 21:48:57.864366
3,1,4,1,2026-02-24 21:49:04.099285
4,1,5,1,2026-02-24 21:49:19.193708
5,1,7,1,2026-02-24 21:49:28.207766
6,1,8,1,2026-02-24 21:49:49.000659
7,1,6,1,2026-02-24 21:50:00.963008
8,1,3,1,2026-02-24 21:50:13.338029
9,2,13,1,2026-02-24 21:50:45.928428
10,2,9,1,2026-02-24 21:50:53.234649
11,2,14,1,2026-02-24 21:51:02.947857
12,2,10,1,2026-02-24 21:51:24.160096
13,2,11,1,2026-02-24 21:51:33.054631
14,2,18,1,2026-02-24 21:51:41.376309
15,2,15,1,2026-02-24 21:52:16.216582
16,2,16,1,2026-02-24 21:52:23.079733
17,2,19,1,2026-02-24 21:52:36.125190
18,2,17,1,2026-02-24 21:52:43.120430
19,2,12,1,2026-02-24 21:52:47.728766
20,3,3,1,2026-02-24 21:53:36.403947
21,3,12,1,2026-02-24 21:53:41.991712
22,3,17,1,2026-02-24 21:53:46.026121
23,3,8,1,2026-02-24 21:53:49.878291
24,3,19,1,2026-02-24 21:53:53.604721
25,3,16,1,2026-02-24 21:53:57.820527
26,3,15,1,2026-02-24 21:54:01.520512
27,3,18,1,2026-02-24 21:54:05.357041
28,3,7,1,2026-02-24 21:54:08.828992
29,3,5,1,2026-02-24 21:54:12.751545
30,3,11,1,2026-02-24 21:54:16.523985
31,3,10,1,2026-02-24 21:54:19.901852
32,3,14,1,2026-02-24 21:54:24.261695
33,3,6,1,2026-02-24 21:54:28.345374
34,3,9,1,2026-02-24 21:54:32.532348
35,3,13,1,2026-02-24 21:54:36.884504
36,3,4,1,2026-02-24 21:54:40.542476
37,3,2,1,2026-02-24 21:54:44.913289
38,3,1,1,2026-02-24 21:54:50.535717
