id,game_id,period_order,description,main_timer_name,home_team_goals,away_team_goals,home_team_fouls,away_team_fouls,initial_time,limit,pause_at_limit,status,created_at,updated_at
1,53,1,1. połowa,LAGxOPP p:1,0,0,0,0,0,1200000,1,1,2026-02-27 23:20:43.047252,2026-02-27 23:26:02.345437
2,53,2,2. połowa,LAGxOPP p:2,0,0,0,0,1200000,2400000,1,0,2026-02-27 23:20:43.102934,2026-02-27 23:20:43.125880
3,54,1,1. połowa,NKSxNŁD p:1,0,0,0,0,0,1200000,1,1,2026-02-28 03:29:45.291179,2026-03-05 23:28:08.275586
4,54,2,2. połowa,NKSxNŁD p:2,0,0,0,0,1200000,2400000,1,0,2026-02-28 03:29:45.331321,2026-02-28 03:29:45.344410
