85,95,GOL
103,113,PUD
166,176,OBR
193,203,XD
282,292,OBR
343,353,XD
475,485,OBR
485,495,OBR
496,506,OBR
673,683,GOL
695,705,FAUL
724,734,GOL
793,803,XD
968,978,OBR
988,998,OBR
1037,1047,PUD
1054,1064,GOL
1144,1154,XD
1182,1192,PUD
1194,1204,XD
1285,1295,OBR
1318,1328,OBR
1355,1365,PUD
1373,1383,OBR
1398,1408,PUD
1424,1434,XD
1436,1446,OBR
1502,1512,GOL
1553,1563,OBR
1578,1588,PUD
1591,1601,PUD
1622,1632,GOL
1640,1650,PUD
1684,1694,PUD
1721,1731,PUD
1737,1747,OBR
1751,1761,XD
1754,1764,XD
1874,1884,OBR
1883,1893,PUD
1892,1902,PUD
1910,1920,PUD
1945,1955,OBR
1975,1985,OBR
2026,2036,PUD
2061,2071,OBR
2138,2148,XD
