86,96,GOL
104,114,PUD
167,177,OBR
194,204,XD
283,293,OBR
344,354,XD
476,486,OBR
486,496,OBR
497,507,OBR
674,684,GOL
696,706,FAUL
725,735,GOL
794,804,XD
969,979,OBR
989,999,OBR
1038,1048,PUD
1055,1065,GOL
1145,1155,XD
1183,1193,PUD
1195,1205,XD
1286,1296,OBR
1319,1329,OBR
1356,1366,PUD
1374,1384,OBR
1399,1409,PUD
1425,1435,XD
1437,1447,OBR
1502,1512,GOL
1554,1564,OBR
1579,1589,PUD
1592,1602,PUD
1623,1633,GOL
1641,1651,PUD
1685,1695,PUD
1721,1731,PUD
1738,1748,OBR
1752,1762,XD
1754,1764,XD
1875,1885,OBR
1884,1894,PUD
1893,1903,PUD
1911,1921,PUD
1946,1956,OBR
1976,1986,OBR
2027,2037,PUD
2062,2072,OBR
2139,2149,XD
